training/grad_norm,step,training/loss
81.29998162188446,0,12.16486644744873
14.57201837366471,1,12.171567916870117
13.292582481347916,2,12.151235580444336
13.11664656977263,3,12.161600112915039
13.983482426124,4,12.138916969299316
12.253443020013867,5,12.156126976013184
14.921777343430442,6,12.145578384399414
14.685480246765,7,12.133829116821289
12.959459916152346,8,12.124458312988281
13.909602277651972,9,12.108260154724121
13.71970428415027,10,12.0657958984375
14.780631635123147,11,12.053373336791992
14.532461727032219,12,12.076730728149414
14.770370124616514,13,12.042160034179688
14.782234272032161,14,12.060205459594727
14.696857993724214,15,12.043352127075195
14.644318691775629,16,12.050058364868164
18.923708687471418,17,11.982105255126953
14.15330437672678,18,12.000068664550781
14.586920829199826,19,11.973145484924316
14.217786282587868,20,11.965944290161133
14.879624617569007,21,11.923616409301758
14.459158369081774,22,11.922855377197266
15.05759815531784,23,11.904741287231445
18.74833977024699,24,11.82203483581543
15.021705690290405,25,11.879037857055664
18.355395180343095,26,11.785308837890625
14.401976640459592,27,11.75071907043457
16.52776612923405,28,11.647409439086914
16.791455339311998,29,11.561823844909668
14.67503210840823,30,11.619857788085938
14.784260417048314,31,11.57712173461914
13.24856444445462,32,11.614639282226562
14.04223909352656,33,11.54505443572998
13.805716527507387,34,11.522628784179688
13.831400786076518,35,11.464532852172852
14.518952709922598,36,11.415136337280273
13.222802228699365,37,11.440170288085938
13.348646779715514,38,11.417830467224121
12.766447939547009,39,11.392147064208984
12.927277437771846,40,11.340034484863281
9.937747976220125,41,11.278060913085938
14.919065712319778,42,10.973669052124023
13.66747418010611,43,11.138986587524414
16.044421520081755,44,11.01809310913086
15.70853985853888,45,11.05672836303711
19.10673977639337,46,10.747140884399414
13.986336716456305,47,10.946971893310547
12.789078607007268,48,10.897980690002441
15.14813531158105,49,10.82321548461914
11.56563777103456,50,10.549219131469727
13.86333188036683,51,10.65939712524414
8.308340308193799,52,10.782276153564453
8.802748458983075,53,10.71689224243164
8.37776252392168,54,10.728628158569336
9.128455774882429,55,10.606685638427734
8.093823995951569,56,10.686079025268555
7.8414337264139515,57,10.713822364807129
8.378186431056255,58,10.627750396728516
9.129052085511423,59,10.536859512329102
7.301724050029774,60,10.686786651611328
8.28980340262069,61,10.231972694396973
7.239557309183966,62,10.521394729614258
7.3022462080251165,63,10.41114330291748
6.96138055592314,64,10.403908729553223
7.679972615193181,65,9.892566680908203
6.661160229496611,66,10.008689880371094
5.811916855303333,67,10.3768892288208
6.269350233465468,68,10.209102630615234
6.047337713946003,69,10.196645736694336
6.792620289635652,70,10.145179748535156
7.889830656953935,71,10.023574829101562
5.837556382096892,72,10.196632385253906
4.857447987276516,73,10.124895095825195
4.9576514707539445,74,10.165428161621094
5.100121006745552,75,9.93354606628418
5.053559497278062,76,10.146378517150879
5.2584217279725545,77,9.754903793334961
5.433529511324978,78,9.69516372680664
5.240402713763227,79,9.701515197753906
5.380649879655933,80,9.796699523925781
5.077161116454884,81,10.022651672363281
4.080985633501388,82,9.813498497009277
4.058337147506603,83,9.876869201660156
4.073855682903123,84,9.823387145996094
4.4149400227016375,85,9.806594848632812
4.144669310259414,86,9.614131927490234
4.222676124490694,87,9.475215911865234
3.9068805643401174,88,9.6541748046875
4.6216567044036685,89,9.733945846557617
4.068827001074493,90,9.832266807556152
3.997718518018021,91,9.400267601013184
3.687362797657737,92,9.63873291015625
3.557592391357795,93,9.561796188354492
3.5398266369455027,94,9.790739059448242
3.723986489071701,95,9.63276481628418
3.862426539836682,96,9.518060684204102
3.5774063654707913,97,9.548727035522461
3.5966164476944398,98,9.198068618774414
3.2577425356883265,99,9.597539901733398
4.32441679269284,100,9.347935676574707
6.0937205778536505,101,9.178581237792969
3.2955333999240013,102,9.300882339477539
3.5565006536501667,103,9.586088180541992
3.45153481993449,104,9.275579452514648
3.3370000857729583,105,9.528093338012695
4.404546963174041,106,9.429598808288574
3.6734602732339874,107,9.21157455444336
3.2311510613233962,108,9.141210556030273
4.206844910131629,109,9.265596389770508
3.522006740323169,110,9.242316246032715
4.661388659533712,111,9.178743362426758
4.107860213474561,112,9.208091735839844
4.380763372150831,113,9.151567459106445
3.5730018420210667,114,9.318422317504883
3.8280113981868493,115,9.163490295410156
3.9672848858172984,116,9.218718528747559
3.75711909695333,117,9.266718864440918
3.518473645160215,118,9.102468490600586
4.64844673219934,119,9.229490280151367
3.4511084558848313,120,9.126867294311523
4.471810953146789,121,9.158666610717773
3.2111148089160624,122,9.099579811096191
3.51528047356983,123,9.035701751708984
4.057565362372105,124,8.91396427154541
3.5136762176877,125,8.906855583190918
3.4955639656204465,126,9.064102172851562
4.628227139002073,127,8.988031387329102
4.07037622910762,128,8.887675285339355
3.3554629235888735,129,8.57097053527832
4.031652622668903,130,8.835881233215332
4.240824049998641,131,9.090252876281738
3.7275911267077237,132,8.9051513671875
3.3622205880511236,133,8.683598518371582
4.047335918792852,134,8.659982681274414
3.751945118297352,135,8.534605026245117
3.2192226914650766,136,8.767884254455566
3.871093010926393,137,8.786203384399414
4.111892219318378,138,8.632088661193848
3.0215866377329266,139,8.699372291564941
3.493985184889742,140,8.691598892211914
3.687323097252959,141,8.674264907836914
3.7014385519856976,142,8.664480209350586
3.791354211921369,143,8.638587951660156
3.586627170836892,144,8.899972915649414
3.4608934111187244,145,8.561260223388672
7.901108830534682,146,8.327545166015625
3.2183040569230896,147,8.419119834899902
3.5390910637989137,148,8.616706848144531
3.3067427212162133,149,8.264568328857422
3.010041438986597,150,8.504640579223633
3.154645606448166,151,8.428546905517578
3.059730367312502,152,8.599380493164062
9.10522073074915,153,8.712276458740234
3.572815132737389,154,8.254640579223633
3.0464699500395764,155,8.520907402038574
4.516076299693498,156,8.513715744018555
4.016438323899968,157,8.577512741088867
3.750219465827316,158,8.342280387878418
3.7582560890080927,159,8.54486083984375
3.5973341608162004,160,8.394550323486328
3.0660309968937978,161,8.383686065673828
4.117140478339765,162,8.332962036132812
3.5469384544847045,163,8.054275512695312
3.6042459879766398,164,8.447818756103516
3.9553583041192164,165,8.524093627929688
3.596059836410665,166,8.313217163085938
3.384496256592504,167,8.241493225097656
4.069909015360238,168,8.203883171081543
4.144640317986413,169,8.329259872436523
3.448570873203113,170,8.302806854248047
3.7230162951788808,171,8.39029312133789
3.990950719434969,172,8.010773658752441
4.235174687733685,173,7.91062593460083
3.2321496946869193,174,8.068351745605469
4.608152893470399,175,8.097797393798828
4.097642751258748,176,8.010910034179688
3.7536285647002154,177,8.061429977416992
3.470230611344244,178,8.250027656555176
3.7163715610324646,179,8.057485580444336
4.286205903875249,180,8.1982421875
4.051970231047595,181,8.172828674316406
3.677597586285486,182,8.166024208068848
4.560152887157189,183,7.9538679122924805
4.184814047197216,184,8.170162200927734
4.087245753602516,185,8.01302719116211
4.317391758607277,186,7.797791481018066
4.714798036620768,187,7.934708595275879
4.074480437874631,188,8.02816390991211
4.351064766544062,189,8.059798240661621
4.051072466102076,190,8.029926300048828
3.9749343626733054,191,8.034433364868164
4.793944815167269,192,7.940095901489258
5.041031137979811,193,7.946712493896484
4.239208207963929,194,8.065206527709961
3.7151877387397305,195,8.005797386169434
4.097728630423062,196,7.896267414093018
4.566414186129759,197,7.979866981506348
4.875487865587426,198,7.831161022186279
5.517231391207106,199,7.685912132263184
4.407839224706293,200,8.028647422790527
4.9719822764736765,201,7.970565319061279
4.8617031984173975,202,7.797856330871582
4.553124396769864,203,7.82535982131958
4.514032947817228,204,7.827322483062744
5.2382939940887105,205,7.586050510406494
5.19213806918616,206,7.619484901428223
4.542391004750589,207,7.8651533126831055
4.738503648235466,208,7.691024303436279
4.973440391642754,209,7.7720160484313965
4.644116048645966,210,7.7750630378723145
5.662824487546636,211,7.634099960327148
4.339713656916023,212,7.673280715942383
5.337815229411734,213,7.765064239501953
4.739231954551599,214,7.624571800231934
4.586182050017033,215,7.806841850280762
5.143129984869113,216,7.7115678787231445
5.156831465793852,217,7.618659973144531
5.62346780890172,218,7.70936393737793
5.18501258870641,219,7.879615783691406
6.840219640941958,220,7.325216293334961
5.355050792007986,221,7.446112632751465
7.561136170039842,222,7.445828914642334
6.005644368610795,223,7.685352325439453
9.499463116382511,224,7.49437952041626
6.96241835267222,225,7.667611122131348
6.68988108804394,226,7.585575580596924
8.388465646111694,227,7.581518650054932
5.024071352348732,228,7.706786155700684
6.6678789308171424,229,7.707574367523193
5.827409552056758,230,7.53864049911499
7.697062429917587,231,6.989270210266113
7.8915345526985785,232,7.30504035949707
7.267151374866538,233,7.334053993225098
9.489921041789259,234,7.584150314331055
7.395999301248108,235,7.486135482788086
6.916357868455823,236,7.465369701385498
11.588872742227645,237,7.836104393005371
10.364857323378088,238,7.183032035827637
8.26299580112292,239,7.437976360321045
9.10970372544201,240,7.371560096740723
5.548917152686893,241,7.541607856750488
18.17226209416815,242,7.202030181884766
14.436268147021075,243,7.150481224060059
7.608670869869839,244,7.312216281890869
9.874078248861938,245,7.386989593505859
8.321303216398155,246,7.3690104484558105
10.925572458453694,247,7.357309818267822
7.52811426753399,248,7.260051727294922
8.573899748479256,249,7.338345527648926
6.114883788058043,250,7.416953086853027
7.9216566187386,251,7.402113914489746
6.32713479666013,252,7.591141700744629
6.41053769907865,253,7.156628608703613
6.537729945615441,254,7.409487724304199
6.754644420873789,255,7.187382698059082
